FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
1757	222834	436405	15	 	 	 	 	1st	Street	South	 	 	A1214	15 1st Street South A1214	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320234	{3714AE2C-F3B2-4CC5-A72A-CA5D1FB7AF2E}
3442	422699	51647	15	 	 	 	 	1st	Street	South	 	 	A1215	15 1st Street South A1215	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320235	{9D819274-2F96-4D3F-AB45-ADAC2F0E198A}
138	17282	55765	15	 	 	 	 	1st	Street	South	 	 	A1216	15 1st Street South A1216	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320236	{7E359BEC-7322-4DA4-A9C7-194DB0CEEDAF}
191	25489	148209	15	 	 	 	 	1st	Street	South	 	 	A1217	15 1st Street South A1217	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320237	{FAA21456-3BAF-45D9-BA06-469F86FA7457}
930	123472	77434	15	 	 	 	 	1st	Street	South	 	 	A1218	15 1st Street South A1218	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320238	{002D739A-D53E-4C75-90BB-26BC2E9F9095}
2530	312500	83072	15	 	 	 	 	1st	Street	South	 	 	A1219	15 1st Street South A1219	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320239	{A484BB47-6AC7-4CD8-B3C2-115F243DF0D6}
976	128095	83440	15	 	 	 	 	1st	Street	South	 	 	A1220	15 1st Street South A1220	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320240	{A9CB9884-8A97-41AA-96BA-D53329A976A6}
2910	357477	106076	15	 	 	 	 	1st	Street	South	 	 	A1401	15 1st Street South A1401	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320241	{0F22E327-6FBB-4928-82FD-44AA6239C5FE}
1440	182369	76574	15	 	 	 	 	1st	Street	South	 	 	A1402	15 1st Street South A1402	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320242	{21FE0077-3238-4F19-A7BD-4BFDB72F2C97}
3828	468824	51422	15	 	 	 	 	1st	Street	South	 	 	A1403	15 1st Street South A1403	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320243	{BBA58981-0073-4F6D-9CCF-8E99250874FC}
323	41309	40180	15	 	 	 	 	1st	Street	South	 	 	A1405	15 1st Street South A1405	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320245	{FA8CEFBF-B78E-4F34-A5D8-AD2EA53114D3}
3082	378715	84473	15	 	 	 	 	1st	Street	South	 	 	A1407	15 1st Street South A1407	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320247	{B70A71EB-AB93-4CE0-8047-3F665E9AC526}
3567	437431	77723	15	 	 	 	 	1st	Street	South	 	 	A1408	15 1st Street South A1408	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320248	{F25D5FA7-15FF-4390-82FA-817107B0785E}
43	5481	61477	15	 	 	 	 	1st	Street	South	 	 	A1409	15 1st Street South A1409	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320249	{0DE1BE54-9AEC-45B5-BD91-2C15212C33E0}
681	87821	80304	15	 	 	 	 	1st	Street	South	 	 	A1410	15 1st Street South A1410	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320250	{74ED00B2-7621-43E7-AB8E-9519A0B4C20F}
1949	243101	58267	15	 	 	 	 	1st	Street	South	 	 	A1411	15 1st Street South A1411	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320251	{B1D3BE3E-9ADC-4220-96F5-0DF96885D31D}
2504	310042	451703	15	 	 	 	 	1st	Street	South	 	 	A1412	15 1st Street South A1412	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320252	{4395752F-1DA8-42FC-B320-3BF90F10E488}
3859	471736	83269	15	 	 	 	 	1st	Street	South	 	 	A1413	15 1st Street South A1413	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320253	{089583A5-5EDD-432D-9061-A7247CF10FB0}
2713	334997	87553	15	 	 	 	 	1st	Street	South	 	 	A1415	15 1st Street South A1415	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320255	{85B86E0C-43B5-4616-90C9-BAC1B842BE4E}
2737	337771	58898	15	 	 	 	 	1st	Street	South	 	 	A1417	15 1st Street South A1417	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320257	{17555FD9-9B9D-408C-BCCC-07409280CE27}
2460	304124	83239	15	 	 	 	 	1st	Street	South	 	 	A1418	15 1st Street South A1418	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320258	{FAACC980-961F-43F7-A649-DA423C80DBBD}
3399	416113	60470	15	 	 	 	 	1st	Street	South	 	 	A1419	15 1st Street South A1419	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320259	{1E706923-48CD-4664-ACFB-DE04532E4C45}
2188	271039	64852	15	 	 	 	 	1st	Street	South	 	 	A1420	15 1st Street South A1420	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320260	{25042832-9DA7-4769-A990-E1AB6F82F9C7}
2357	293102	83071	15	 	 	 	 	1st	Street	South	 	 	A1503	15 1st Street South A1503	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320263	{D6C2A44D-CD5F-44A2-A150-9F75761FB51D}
488	61886	145962	15	 	 	 	 	1st	Street	South	 	 	A1504	15 1st Street South A1504	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320264	{2BE0E221-9766-49E5-AB06-DD2BD12F04C2}
779	101454	76346	15	 	 	 	 	1st	Street	South	 	 	A1505	15 1st Street South A1505	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320265	{89FE4CB6-06C9-4092-899C-E42D90D10D6F}
2516	311415	83605	15	 	 	 	 	1st	Street	South	 	 	A1506	15 1st Street South A1506	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320266	{9A5448BC-7275-4873-9853-630F28979DAB}
776	100333	57792	15	 	 	 	 	1st	Street	South	 	 	A1507	15 1st Street South A1507	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320267	{13536244-4077-4807-ACC6-1F3364FB4C04}
598	76192	61232	15	 	 	 	 	1st	Street	South	 	 	A1508	15 1st Street South A1508	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320268	{3821CCEA-80CC-4224-BF11-E10317FDE48F}
